92;0
92;2
164;1
165;0
238;0
238;2
296;0
303;1
312;0
316;0
320;2
330;0
332;1
334;2
336;1
339;0
342;1
347;0
351;0
355;2
363;1
373;1
382;2
386;2
390;0
398;0
401;1
404;2
406;1
409;0
414;0
418;1
422;0
432;0
440;1
448;0
452;0
456;2
464;1
468;1
472;0
476;0
480;1
483;2
487;1
496;0
504;1
512;2
516;2
520;1
528;2
532;1
535;1
539;0
544;1
548;0
552;1
561;0
569;0
577;1
581;1
585;0
593;0
596;1
598;2
600;1
603;0
605;0
610;0
613;1
617;2
625;1
633;1
642;0
645;0
649;0
657;1
662;2
665;1
669;0
674;1
678;0
682;1
690;1
698;1
706;2
711;1
714;1
722;0
724;1
727;2
729;1
732;0
735;0
739;1
743;0
747;0
755;0
764;0
774;1
782;2
786;1
790;1
797;0
803;1
805;0
808;1
810;0
814;1
817;2
824;1
827;1
831;0
837;0
843;1
848;2
852;2
856;2
864;1
867;1
872;1
875;1
879;0
886;0
892;0
901;1
906;1
910;2
914;2
918;2
942;0
950;0
958;1
962;1
966;0
974;0
977;1
981;2
985;1
989;0
993;0
996;0
1003;0
1012;0
1021;1
1025;1
1028;0
1036;0
1040;1
1044;2
1047;1
1052;0
1055;0
1059;0
1066;0
1075;0
1083;1
1087;1
1091;0
1099;0
1103;0
1106;0
1110;0
1113;1
1117;2
1121;1
1129;1
1138;1
1146;0
1149;0
1153;2
1161;0
1165;0
1169;1
1172;1
1176;2
1180;1
1184;0
1192;0
1223;1
1254;2
1260;1
1263;0
1268;1
1270;2
1275;1
1276;2
1278;1
1283;2
1286;3
1290;3
1293;2
1295;1
1298;3
1302;2
1305;1
1308;3
1313;0
1344;1
1375;0
1379;2
1382;1
1386;2
1390;3
1392;2
1396;1
1400;2
1402;1
1405;1
1408;1
1412;2
1414;3
1415;2
1420;1
1423;0
1427;1
1429;2
1431;3
1435;2
1442;1
1451;0
1455;0
1459;1
1467;0
1471;0
1474;0
1478;0
1481;1
1486;3
1489;2
1497;0
1505;0
1513;0
1517;1
1521;1
1528;0
1531;1
1533;2
1535;1
1538;0
1540;0
1544;0
1548;0
1552;1
1560;0
1568;0
1576;1
1580;1
1584;0
1591;0
1595;1
1599;2
1603;3
1606;2
1610;1
1614;0
1622;0
1630;1
1638;2
1641;1
1645;0
1655;0
1658;1
1662;2
1666;1
1670;1
1673;0
1677;0
1692;1
1700;1
1715;0
1747;0
1750;1
1754;2
1757;3
1761;2
1763;1
1765;2
1769;1
1771;2
1773;1
1777;0
1780;0
1784;1
1786;2
1788;1
1794;2
1796;1
1800;2
1802;1
1804;0
1807;0
1838;0
1869;0
1872;1
1876;2
1878;1
1880;0
1883;1
1885;2
1887;1
1891;2
1892;1
1894;2
1898;0
1902;0
1906;1
1907;2
1909;1
1914;2
1915;1
1919;2
1922;1
1924;2
1926;1
1929;0
1934;0
1936;1
1939;2
1942;3
1945;3
1949;3
1951;2
1952;1
1955;0
1959;0
1961;1
1964;2
1967;3
1970;0
1974;1
1977;2
1979;3
1983;0
1987;1
1987;0
1989;2
1991;0
1993;1
1995;2
1997;0
2000;2
2002;0
2004;1
2007;2
2009;0
2011;2
2012;0
2015;1
2017;2
2019;1
2021;0
2023;2
2025;1
2026;0
2027;2
2029;0
2030;1
2031;2
2032;0
2032;1
2033;2
